DSH Community Installer third-party package inventory
=====================================================

Generated from the pnpm 11.7.0 offline payload for DSH 0.1.0-rc.7.
Package count: 446

Format: package path | version | SPDX license

node_modules/@anthropic-ai/sdk | 0.91.1 | MIT
node_modules/@aws-crypto/sha256-browser | 5.2.0 | Apache-2.0
node_modules/@aws-crypto/sha256-js | 5.2.0 | Apache-2.0
node_modules/@aws-crypto/supports-web-crypto | 5.2.0 | Apache-2.0
node_modules/@aws-crypto/util | 5.2.0 | Apache-2.0
node_modules/@aws-sdk/client-bedrock-runtime | 3.1048.0 | Apache-2.0
node_modules/@aws-sdk/core | 3.977.8 | Apache-2.0
node_modules/@aws-sdk/credential-provider-env | 3.972.69 | Apache-2.0
node_modules/@aws-sdk/credential-provider-http | 3.972.71 | Apache-2.0
node_modules/@aws-sdk/credential-provider-http/node_modules/@smithy/node-http-handler | 4.11.2 | Apache-2.0
node_modules/@aws-sdk/credential-provider-ini | 3.973.14 | Apache-2.0
node_modules/@aws-sdk/credential-provider-login | 3.972.76 | Apache-2.0
node_modules/@aws-sdk/credential-provider-node | 3.972.80 | Apache-2.0
node_modules/@aws-sdk/credential-provider-process | 3.972.69 | Apache-2.0
node_modules/@aws-sdk/credential-provider-sso | 3.973.13 | Apache-2.0
node_modules/@aws-sdk/credential-provider-sso/node_modules/@aws-sdk/token-providers | 3.1111.0 | Apache-2.0
node_modules/@aws-sdk/credential-provider-web-identity | 3.972.75 | Apache-2.0
node_modules/@aws-sdk/eventstream-handler-node | 3.972.33 | Apache-2.0
node_modules/@aws-sdk/middleware-eventstream | 3.972.28 | Apache-2.0
node_modules/@aws-sdk/middleware-websocket | 3.972.51 | Apache-2.0
node_modules/@aws-sdk/nested-clients | 3.997.43 | Apache-2.0
node_modules/@aws-sdk/nested-clients/node_modules/@smithy/node-http-handler | 4.11.2 | Apache-2.0
node_modules/@aws-sdk/signature-v4-multi-region | 3.996.45 | Apache-2.0
node_modules/@aws-sdk/token-providers | 3.1048.0 | Apache-2.0
node_modules/@aws-sdk/types | 3.974.4 | Apache-2.0
